0.000000 0.175000 
0.150000 0.127936 
0.300000 0.059122 
0.450000 -0.007085 
0.600000 -0.053581 
0.750000 -0.073163 
0.900000 -0.067801 
1.050000 -0.045648 
1.200000 -0.017175 
1.350000 0.008259 
1.500000 0.024631 
1.650000 0.029977 
1.800000 0.025822 
1.950000 0.015841 
2.100000 0.004283 
2.250000 -0.005318 
2.400000 -0.010907 
2.550000 -0.012059 
2.700000 -0.009659 
2.850000 -0.005306 
3.000000 -0.000697 
3.150001 0.002860 
3.300001 0.004691 
3.450001 0.004768 
3.600001 0.003542 
3.750001 0.001693 
3.900001 -0.000114 
4.050001 -0.001404 
4.200001 -0.001970 
4.350001 -0.001854 
4.500001 -0.001270 
4.650002 -0.000502 
4.800002 0.000195 
4.950002 0.000652 
5.100002 0.000810 
5.250002 0.000709 
5.400002 0.000444 
5.550002 0.000131 
5.700002 -0.000133 
5.850002 -0.000290 
6.000002 -0.000327 

