
0.000000  0.175000 
0.150000  0.110622 
0.300000  0.005549 
0.450000  -0.101566 
0.600000  -0.171317 
0.750000  -0.178044 
0.900000  -0.119274 
1.050000  -0.016626 
1.200000  0.092139 
1.350000  0.167008 
1.500000  0.180439 
1.650000  0.127491 
1.800000  0.027642 
1.950000  -0.082375 
2.100000  -0.162089 
2.250000  -0.182174 
2.400000  -0.135242 
2.550000  -0.038558 
2.700000  0.072311 
2.850000  0.156578 
3.000000  0.183244 
3.150001  0.142499 
3.300001  0.049333 
3.450001  -0.061982 
3.600001  -0.150496 
3.750001  -0.183645 
3.900001  -0.149236 
4.050001  -0.059927 
4.200001  0.051428 
4.350001  0.143864 
4.500001  0.183376 
4.650002  0.155429 
4.800002  0.070303 
4.950002  -0.040685 
5.100002  -0.136707 
5.250002  -0.182437 
5.400002  -0.161053 
5.550002  -0.080422 
5.700002  0.029794 
5.850002  0.129050 
6.000002  0.180832 

